symbol	phenotype	FLAMES_scaled	FLAMES_scaled_with_path	XGB_scaled	weighted_cS2G_score	Overall L2G score	L2G_best	FLAMES_causal	FLAMES_causal_path	FLAMES_raw_path	rel_PoPS_Score	rel_PoPS_path	rel_weighted_distance	rel_MAGMA_Z	TP	filename
UGT2B10	Test_male	0.07922554620111194	0.06939618456764698	0.062214375	0.0	0.0238839499652385	0	0	0	0.06242212756672857	0.9469437506251519	0.9070368685120401	0.7994346683878566	0.4203351917003416	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
UGT2A3	Test_male	0.06739282009499978	0.06259795429257649	0.05425791	0.0	0.0088855708017945	0	0	0	0.06396152747663642	0.8941452889297838	0.9395763909226357	0.6088206309770011	0.25962429847002544	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
UGT2A3	Test_male	0.07614840213531177	0.07110757257115881	0.062214375	0.0	0.0076810014434158	0	0	0	0.06396152747663642	0.8941452889297838	0.9395763909226357	0.6402387584785587	0.25962429847002544	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
UGT2B7	Test_male	0.1418254860660999	0.07858228420292092	0.06672526	0.0	0.0070984307676553	0	0	0	0.0802940445422518	1.0	0.9676873802261133	0.4382375393840132	0.8720997833095503	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
UGT2B7	Test_male	0.16025125719288194	0.08926482566267001	0.07650996	0.0	0.0068055037409067	0	0	0	0.0802940445422518	1.0	0.9676873802261133	0.46627968203281583	0.8720997833095503	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
SCGN	Urate	0.014813055500356938	0.013981055348105698	0.026203262	0.0	0.016443733125925	0	0	0	0.02145122520263548	0.27357735622879825	0.043459200418523504	0.8555572274735647	0.6769976905311779	0	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
SLC17A4	Urate	0.06662043869719678	0.06437339372418574	0.072722875	0.0	0.0469251945614814	0	0	0	0.09876852150667775	0.6992397132141183	0.34389739808345693	0.9641820445125371	0.564378752886836	0	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
SLC17A1	Urate	0.48151079795432833	0.3986724027184848	0.26133493	0.0	0.7543954849243164	1	1	1	0.6116856903759215	1.0	0.6715218882779084	1.0	0.7038337182448037	1	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
SLC17A3	Urate	0.04098715812553434	0.09989485655639735	0.038174167	0.0	0.0663440003991127	0	0	0	0.15326933562755585	0.8904893116578525	1.0	0.964856435440406	0.6852655889145497	0	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
SLC17A2	Urate	0.011839861477104462	0.012095080222785505	0.018002512	0.0	0.0180988572537899	0	0	0	0.018557561159935468	0.3856619437515297	0.16162065762627706	0.8558485971847941	0.564378752886836	0	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
TRIM38	Urate	0.039640096126358694	0.04004365215889905	0.05290343	0.0	0.0287878811359405	0	0	0	0.061439238956516144	0.4968345679045357	0.23430207057627708	0.7873862905763102	0.564378752886836	0	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
HFE	Urate	0.008670390581398145	0.009361518077549369	0.015219808	0.0	0.0051020057871937	0	0	0	0.014363438776262576	0.2788738541131965	0.11311722535576757	0.6171073690546216	0.6851639722863742	0	FLAMES_annotated_GCST011521-6_25807375_A_G_credset.cred1
